Location,Rainfall,Latitude,Longitude
Adelaide,1.5663539307667422,-34.9281805,138.5999312
Albany,2.2638594164456234,-35.0247822,117.883608
Albury,1.914114911989372,-36.0804766,146.9162795
AliceSprings,0.8828496042216359,,
BadgerysCreek,2.1931010928961747,,
Ballarat,1.7400264200792603,-37.5623013,143.8605645
Bendigo,1.6193803559657218,-36.7590183,144.2826718
Brisbane,3.144890857323632,-27.4689682,153.0234991
Cairns,5.742034805890228,-16.9206657,145.7721854
Canberra,1.7417203042715037,-35.2975906,149.1012676
Cobar,1.1273092369477913,-31.4983333,145.8344444
CoffsHarbour,5.061496782932611,,
Dartmoor,2.1465669612508496,-27.996161999999998,115.18921814168053
Darwin,5.092452239273411,-12.46044,130.8410469
GoldCoast,3.769395973154362,-28.0805,153.4309186971459
Hobart,1.601819322459222,-42.8825088,147.3281233
Katherine,3.201089743589744,-14.4646157,132.2635993
Launceston,2.011988110964333,-41.4340813,147.1373496
Melbourne,1.8700616016427103,-37.8142454,144.9631732
MelbourneAirport,1.4519774011299436,,
Mildura,0.9450615231127372,-34.195274,142.1503146
Moree,1.6302032235459003,-29.4617202,149.8407153
MountGambier,2.087561860772022,,
MountGinini,3.292260061919505,,
Newcastle,3.183891708967851,-32.9272881,151.7812534
Nhil,0.9348629700446144,-35.4713087,141.3062355
NorahHead,3.387299419597132,,
NorfolkIsland,3.127665317139001,,
Nuriootpa,1.3903429903429902,-34.4693354,138.9939006
PearceRAAF,1.66908037653874,,
Penrith,2.1753036437246966,-33.74779624999999,150.71478824217297
Perth,1.906295020357031,-31.9558933,115.8605855
PerthAirport,1.761648388168827,,
Portland,2.5303738317757007,-38.3456231,141.6042304
Richmond,2.1384615384615384,-37.80745,144.99071761295892
Sale,1.5101666666666669,-38.1094463,147.0656717
SalmonGums,1.034382402707276,,
Sydney,3.324543002697033,-33.8698439,151.2082848
SydneyAirport,3.009916805324459,,
Townsville,3.485591823277283,-19.2569391,146.8239537
Tuggeranong,2.164042695130086,-35.4209771,149.0921341
Uluru,0.7843626806833114,-25.3455545,131.03696147470208
WaggaWagga,1.7099462365591398,,
Walpole,2.9068463994324225,-34.9776796,116.7310063
Watsonia,1.860820273424475,-37.7109468,145.0837808
Williamtown,3.591108499804152,-32.815,151.8427778
Witchcliffe,2.8956639566395665,-34.0263348,115.1004768
Wollongong,3.594902749832327,-34.4243941,150.89385
Woomera,0.490404546974256,-31.1999142,136.8253532
